Model,year,total_qty,avg_unit_price,min_unit_price,max_unit_price,median_unit_price,price_observations
SS410,2025,15060.0,239.0405835,235.7600013,242.3211657,239.0405835,2
SS430,2019,14370.0,228.7672416,201.8136794,255.7208038,228.7672416,2
SY320,2024,2520.0,341.8951468,341.8951468,341.8951468,341.8951468,1
SY592,2024,95.0,430.0008421,430.0008421,430.0008421,430.0008421,1
SY604,2024,4286.5,494.851396725,414.1170408,702.4198571,431.4343445,4
SY722,2024,78.0,511.9528205,511.9528205,511.9528205,511.9528205,1
SY772,2024,8169.0,234.7560758666667,224.3292401,249.4031136,230.5358739,3
SY845,2025,3750.0,510.6597173,510.6597173,510.6597173,510.6597173,1
TH5170,2025,290.0,401.7253103,401.7253103,401.7253103,401.7253103,1
TOTAL102240,2019,3408.0,468.32201,468.32201,468.32201,468.32201,1
TOTAL720,2019,170.0,267.9796471,267.9796471,267.9796471,267.9796471,1
USD0,2021,17964.8,428.908741,428.908741,428.908741,428.908741,1
USD0,2022,16007.6,605.3646005200001,563.2033571,685.2819561,595.4763051,5
USD0,2023,42480.0,526.9504451571428,496.453737,559.0221,524.0138711,7
USD0,2024,9292.4,612.8270625333333,576.6403467,680.6434415,581.1973994,3
USD0,2025,10608.2,615.5616212,615.5616212,615.5616212,615.5616212,1
USD1,2017,7350.0,520.9797088,520.9797088,520.9797088,520.9797088,1
USD1,2021,17324.9,487.35105350000003,439.6871659,559.1405593,463.2254353,3
USD1,2022,92303.2,537.7418772714285,426.7317652,615.7373418,537.638285,14
USD1,2023,36062.0,518.2748276444445,458.5877957,619.7645724,499.7562646,9
USD1,2025,18710.35,466.61574235,463.4730574,469.7584273,466.61574235,2
USD2,2021,10171.28,407.3234362,407.3234362,407.3234362,407.3234362,1
USD2,2022,29355.2,504.59829243333337,467.0604217,562.4123141,484.3221415,3
USD3,2021,10892.0,416.3815277,416.3815277,416.3815277,416.3815277,1
WT985,2017,24048.0,37.03133441,37.03133441,37.03133441,37.03133441,1
XL8168,2024,386.4,1271.376443,1225.781457,1316.971429,1271.376443,2
,2017,3090225.0,93.93739797994776,4.727564088,1728.281667,71.66177546,134
,2018,5341126.4,165.64444013091665,4.856987678,1113.291177,81.513053945,204
,2019,2093068.02,368.04212852422563,4.938705895,3708.39,379.01925465,226
,2020,912307.38,416.6676171524528,33.29438,1033.33148,415.1334241,159
,2021,1024648.61,457.34626901470585,178.913524,1076.269045,463.33608455,170
,2022,1124967.56,534.9148917030457,214.1640168,1077.822415,540.1795183,197
,2023,1706614.76,501.09858768961413,63.64621173,1045.211749,514.1085452,311
,2024,1038132.04,433.03160407319587,195.9894236,982.0263549,412.6203251,194
,2025,856513.9299999999,443.98446816260565,85.37782609,1678.824667,429.0043706,142
